category,sub_category,base_product,variant_name,sku,material,size_ft,bed_type,storage,foam_included,stock_type,description,base_price
Furniture,Bed,Bed,Sagwan Bed King 6×7 With Storage,BED-SAG-6K-S,Sagwan / Sheesham,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sagwan/Sheesham | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",67500
Furniture,Bed,Bed,Sagwan Bed King 6×7 Without Storage,BED-SAG-6K-NS,Sagwan / Sheesham,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sagwan/Sheesham | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",52500
Furniture,Bed,Bed,Sagwan Bed Queen 5×7 With Storage,BED-SAG-5Q-S,Sagwan / Sheesham,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sagwan/Sheesham | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",64500
Furniture,Bed,Bed,Sagwan Bed Queen 5×7 Without Storage,BED-SAG-5Q-NS,Sagwan / Sheesham,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sagwan/Sheesham | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",49500
Furniture,Bed,Bed,Sagwan Bed King 6×7 Hydraulic Storage,BED-SAG-6K-HS,Sagwan / Sheesham,6×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board Sagwan/Sheesham | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",75000
Furniture,Bed,Bed,Sagwan Bed Queen 5×7 Hydraulic Storage,BED-SAG-5Q-HS,Sagwan / Sheesham,5×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board Sagwan/Sheesham | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",72000
Furniture,Bed,Bed,Sagwan Sofa Cum Bed 5×6 With Storage,BED-SAG-SCB-S,Sagwan / Sheesham,5×6 ft,Sofa Cum Bed,With Storage,No,Stock Item,"Sagwan/Sheesham Frame | Converts Sofa to Full Bed | Under-Seat Storage | Commercial Ply | Hand Polished",52500
Furniture,Bed,Bed,Sonajhuri Bed King 6×7 With Storage,BED-SON-6K-S,Sonajhuri / Mahogany,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sonajhuri/Mahogany | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",46500
Furniture,Bed,Bed,Sonajhuri Bed King 6×7 Without Storage,BED-SON-6K-NS,Sonajhuri / Mahogany,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sonajhuri/Mahogany | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",34500
Furniture,Bed,Bed,Sonajhuri Bed Queen 5×7 With Storage,BED-SON-5Q-S,Sonajhuri / Mahogany,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sonajhuri/Mahogany | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",42000
Furniture,Bed,Bed,Sonajhuri Bed Queen 5×7 Without Storage,BED-SON-5Q-NS,Sonajhuri / Mahogany,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sonajhuri/Mahogany | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",30000
Furniture,Bed,Bed,Sonajhuri Bed King 6×7 Hydraulic Storage,BED-SON-6K-HS,Sonajhuri / Mahogany,6×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board Sonajhuri/Mahogany | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",54000
Furniture,Bed,Bed,Sonajhuri Bed Queen 5×7 Hydraulic Storage,BED-SON-5Q-HS,Sonajhuri / Mahogany,5×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board Sonajhuri/Mahogany | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",49500
Furniture,Bed,Bed,MDF Bed King 6×7 With Storage,BED-MDF-6K-S,MDF,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 18mm MDF | Iron Frame Support | 16 Inch Box Storage | MDF Base 18mm/12mm | Hand Polished",36000
Furniture,Bed,Bed,MDF Bed King 6×7 Without Storage,BED-MDF-6K-NS,MDF,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 18mm MDF | Iron Frame Support | 5 Inch Legs | MDF Base 18mm | Hand Polished",25500
Furniture,Bed,Bed,MDF Bed Queen 5×7 With Storage,BED-MDF-5Q-S,MDF,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 18mm MDF | Iron Frame Support | 16 Inch Box Storage | MDF Base 18mm/12mm | Hand Polished",33000
Furniture,Bed,Bed,MDF Bed Queen 5×7 Without Storage,BED-MDF-5Q-NS,MDF,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 18mm MDF | Iron Frame Support | 5 Inch Legs | MDF Base 18mm | Hand Polished",22500
Furniture,Bed,Bed,MDF Bed King 6×7 Hydraulic Storage,BED-MDF-6K-HS,MDF,6×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board 18mm MDF | Iron Frame Support | Full Under-Bed Gas-Lift Hydraulic Storage | MDF Base 18mm | Hand Polished",42000
Furniture,Bed,Bed,MDF Bed Queen 5×7 Hydraulic Storage,BED-MDF-5Q-HS,MDF,5×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board 18mm MDF | Iron Frame Support | Full Under-Bed Gas-Lift Hydraulic Storage | MDF Base 18mm | Hand Polished",39000
Furniture,Bed,Bed,PlyBoard & Laminates Bed King 6×7 With Storage,BED-PLY-6K-S,PlyBoard & Laminates,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch PlyBoard & Laminates | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",27000
