postal_code,city,district,state,region,latitude,longitude
700001,Kolkata,Kolkata,West Bengal,Eastern,22.5726,88.3639
700002,Kolkata,Kolkata,West Bengal,Eastern,22.5676,88.3731
700003,Kolkata,Kolkata,West Bengal,Eastern,22.5631,88.3829
700004,Kolkata,Kolkata,West Bengal,Eastern,22.5530,88.3842
700005,Kolkata,Kolkata,West Bengal,Eastern,22.5654,88.3628
700006,Kolkata,Kolkata,West Bengal,Eastern,22.5739,88.3589
700007,Kolkata,Kolkata,West Bengal,Eastern,22.5821,88.3662
700008,Kolkata,Kolkata,West Bengal,Eastern,22.5866,88.3750
700009,Kolkata,Kolkata,West Bengal,Eastern,22.5903,88.3834
700010,Kolkata,Kolkata,West Bengal,Eastern,22.5947,88.3920
700011,Kolkata,Kolkata,West Bengal,Eastern,22.5921,88.4019
700012,Kolkata,Kolkata,West Bengal,Eastern,22.5823,88.4087
700013,Kolkata,Kolkata,West Bengal,Eastern,22.5714,88.4123
700014,Kolkata,Kolkata,West Bengal,Eastern,22.5605,88.4098
700015,Kolkata,Kolkata,West Bengal,Eastern,22.5544,88.3986
700016,Kolkata,Kolkata,West Bengal,Eastern,22.5621,88.3801
700017,Kolkata,Kolkata,West Bengal,Eastern,22.5788,88.3702
700018,Kolkata,Kolkata,West Bengal,Eastern,22.5897,88.3668
700019,Kolkata,Kolkata,West Bengal,Eastern,22.5965,88.3705
700020,Kolkata,Kolkata,West Bengal,Eastern,22.6021,88.3856
700021,Kolkata,Kolkata,West Bengal,Eastern,22.6103,88.3954
700022,Kolkata,Kolkata,West Bengal,Eastern,22.6187,88.4042
700023,Kolkata,Kolkata,West Bengal,Eastern,22.6251,88.4115
700024,Kolkata,Kolkata,West Bengal,Eastern,22.6309,88.4187
700025,Kolkata,Kolkata,West Bengal,Eastern,22.6362,88.4251
700026,Kolkata,Kolkata,West Bengal,Eastern,22.6413,88.4309
700027,Kolkata,Kolkata,West Bengal,Eastern,22.6459,88.4362
700028,Kolkata,Kolkata,West Bengal,Eastern,22.6501,88.4410
700029,Kolkata,Kolkata,West Bengal,Eastern,22.6540,88.4453
700030,Kolkata,Kolkata,West Bengal,Eastern,22.6576,88.4492
700031,Kolkata,Kolkata,West Bengal,Eastern,22.5500,88.3600
700032,Kolkata,Kolkata,West Bengal,Eastern,22.5450,88.3550
700033,Kolkata,Kolkata,West Bengal,Eastern,22.5400,88.3500
700034,Kolkata,Kolkata,West Bengal,Eastern,22.5350,88.3450
700035,Kolkata,Kolkata,West Bengal,Eastern,22.5300,88.3400
700036,Kolkata,Kolkata,West Bengal,Eastern,22.5250,88.3350
700037,Kolkata,Kolkata,West Bengal,Eastern,22.5200,88.3300
700038,Kolkata,Kolkata,West Bengal,Eastern,22.5150,88.3250
700039,Kolkata,Kolkata,West Bengal,Eastern,22.5100,88.3200
700040,Kolkata,Kolkata,West Bengal,Eastern,22.5050,88.3150
700041,Kolkata,Kolkata,West Bengal,Eastern,22.6000,88.4000
700042,Kolkata,Kolkata,West Bengal,Eastern,22.6050,88.4050
700043,Kolkata,Kolkata,West Bengal,Eastern,22.6100,88.4100
700044,Kolkata,Kolkata,West Bengal,Eastern,22.6150,88.4150
700045,Kolkata,Kolkata,West Bengal,Eastern,22.6200,88.4200
700046,Kolkata,Kolkata,West Bengal,Eastern,22.6250,88.4250
700047,Kolkata,Kolkata,West Bengal,Eastern,22.6300,88.4300
700048,Kolkata,Kolkata,West Bengal,Eastern,22.6350,88.4350
700049,Kolkata,Kolkata,West Bengal,Eastern,22.6400,88.4400
700050,Kolkata,Kolkata,West Bengal,Eastern,22.6450,88.4450
700051,Kolkata,Kolkata,West Bengal,Eastern,22.6500,88.4500
700052,Kolkata,Kolkata,West Bengal,Eastern,22.6550,88.4550
700053,Kolkata,Kolkata,West Bengal,Eastern,22.6600,88.4600
700054,Kolkata,Kolkata,West Bengal,Eastern,22.6650,88.4650
700055,Kolkata,Kolkata,West Bengal,Eastern,22.6700,88.4700
700056,Kolkata,Kolkata,West Bengal,Eastern,22.6750,88.4750
700057,Kolkata,Kolkata,West Bengal,Eastern,22.6800,88.4800
700058,Kolkata,Kolkata,West Bengal,Eastern,22.6850,88.4850
700059,Kolkata,Kolkata,West Bengal,Eastern,22.6900,88.4900
700060,Kolkata,Kolkata,West Bengal,Eastern,22.6950,88.4950
700061,Kolkata,Kolkata,West Bengal,Eastern,22.7000,88.5000
700062,Kolkata,Kolkata,West Bengal,Eastern,22.7050,88.5050
700063,Kolkata,Kolkata,West Bengal,Eastern,22.7100,88.5100
700064,Kolkata,Kolkata,West Bengal,Eastern,22.7150,88.5150
700065,Kolkata,Kolkata,West Bengal,Eastern,22.7200,88.5200
700066,Kolkata,Kolkata,West Bengal,Eastern,22.7250,88.5250
700067,Kolkata,Kolkata,West Bengal,Eastern,22.7300,88.5300
700068,Kolkata,Kolkata,West Bengal,Eastern,22.7350,88.5350
700069,Kolkata,Kolkata,West Bengal,Eastern,22.7400,88.5400
700070,Kolkata,Kolkata,West Bengal,Eastern,22.7450,88.5450
700071,Kolkata,Kolkata,West Bengal,Eastern,22.7500,88.5500
700072,Kolkata,Kolkata,West Bengal,Eastern,22.7550,88.5550
700073,Kolkata,Kolkata,West Bengal,Eastern,22.7600,88.5600
700074,Kolkata,Kolkata,West Bengal,Eastern,22.7650,88.5650
700075,Kolkata,Kolkata,West Bengal,Eastern,22.7700,88.5700
700076,Kolkata,Kolkata,West Bengal,Eastern,22.7750,88.5750
700077,Kolkata,Kolkata,West Bengal,Eastern,22.7800,88.5800
700078,Kolkata,Kolkata,West Bengal,Eastern,22.7850,88.5850
700079,Kolkata,Kolkata,West Bengal,Eastern,22.7900,88.5900
700080,Kolkata,Kolkata,West Bengal,Eastern,22.7950,88.5950
700081,Kolkata,Kolkata,West Bengal,Eastern,22.8000,88.6000
700082,Kolkata,Kolkata,West Bengal,Eastern,22.8050,88.6050
700083,Kolkata,Kolkata,West Bengal,Eastern,22.8100,88.6100
700084,Kolkata,Kolkata,West Bengal,Eastern,22.8150,88.6150
700085,Kolkata,Kolkata,West Bengal,Eastern,22.8200,88.6200
700086,Kolkata,Kolkata,West Bengal,Eastern,22.8250,88.6250
700087,Kolkata,Kolkata,West Bengal,Eastern,22.8300,88.6300
700088,Kolkata,Kolkata,West Bengal,Eastern,22.8350,88.6350
700089,Kolkata,Kolkata,West Bengal,Eastern,22.8400,88.6400
700090,Kolkata,Kolkata,West Bengal,Eastern,22.8450,88.6450
700091,Kolkata,Kolkata,West Bengal,Eastern,22.8500,88.6500
700092,Kolkata,Kolkata,West Bengal,Eastern,22.8550,88.6550
700093,Kolkata,Kolkata,West Bengal,Eastern,22.8600,88.6600
700094,Kolkata,Kolkata,West Bengal,Eastern,22.8650,88.6650
700095,Kolkata,Kolkata,West Bengal,Eastern,22.8700,88.6700
700096,Kolkata,Kolkata,West Bengal,Eastern,22.8750,88.6750
700097,Kolkata,Kolkata,West Bengal,Eastern,22.8800,88.6800
700098,Kolkata,Kolkata,West Bengal,Eastern,22.8850,88.6850
700099,Kolkata,Kolkata,West Bengal,Eastern,22.8900,88.6900
700100,Kolkata,Kolkata,West Bengal,Eastern,22.8950,88.6950
700101,Kolkata,Kolkata,West Bengal,Eastern,22.5500,88.3400
700102,Kolkata,Kolkata,West Bengal,Eastern,22.5550,88.3450
700103,Kolkata,Kolkata,West Bengal,Eastern,22.5600,88.3500
700104,Kolkata,Kolkata,West Bengal,Eastern,22.5650,88.3550
700105,Kolkata,Kolkata,West Bengal,Eastern,22.5700,88.3600
700106,Kolkata,Kolkata,West Bengal,Eastern,22.5750,88.3650
700107,Kolkata,Kolkata,West Bengal,Eastern,22.5800,88.3700
700108,Kolkata,Kolkata,West Bengal,Eastern,22.5850,88.3750
700109,Kolkata,Kolkata,West Bengal,Eastern,22.5900,88.3800
700110,Kolkata,Kolkata,West Bengal,Eastern,22.5950,88.3850
711101,Howrah,Howrah,West Bengal,Eastern,22.5891,88.2645
711102,Howrah,Howrah,West Bengal,Eastern,22.5950,88.2700
711103,Howrah,Howrah,West Bengal,Eastern,22.6010,88.2755
711104,Howrah,Howrah,West Bengal,Eastern,22.6070,88.2810
711105,Howrah,Howrah,West Bengal,Eastern,22.6130,88.2865
711106,Howrah,Howrah,West Bengal,Eastern,22.6190,88.2920
711107,Howrah,Howrah,West Bengal,Eastern,22.6250,88.2975
711108,Howrah,Howrah,West Bengal,Eastern,22.6310,88.3030
711109,Howrah,Howrah,West Bengal,Eastern,22.6370,88.3085
711110,Howrah,Howrah,West Bengal,Eastern,22.6430,88.3140
712101,Hooghly,Hooghly,West Bengal,Eastern,22.8963,88.3754
712102,Hooghly,Hooghly,West Bengal,Eastern,22.9050,88.3850
712103,Hooghly,Hooghly,West Bengal,Eastern,22.9137,88.3946
712104,Hooghly,Hooghly,West Bengal,Eastern,22.9224,88.4042
712105,Hooghly,Hooghly,West Bengal,Eastern,22.9311,88.4138
712201,Serampore,Hooghly,West Bengal,Eastern,22.7622,88.3739
712202,Serampore,Hooghly,West Bengal,Eastern,22.7710,88.3835
712203,Serampore,Hooghly,West Bengal,Eastern,22.7798,88.3931
712301,Chandannagore,Hooghly,West Bengal,Eastern,22.8739,88.4027
712302,Chandannagore,Hooghly,West Bengal,Eastern,22.8827,88.4123
713101,Tarakeswar,Hooghly,West Bengal,Eastern,23.0267,88.2897
713102,Tarakeswar,Hooghly,West Bengal,Eastern,23.0355,88.2993
713201,Arambagh,Hooghly,West Bengal,Eastern,23.1539,88.3198
713202,Arambagh,Hooghly,West Bengal,Eastern,23.1627,88.3294
743101,Barasat,North 24 Parganas,West Bengal,Eastern,22.7458,88.4684
743102,Barasat,North 24 Parganas,West Bengal,Eastern,22.7546,88.4780
743103,Barasat,North 24 Parganas,West Bengal,Eastern,22.7634,88.4876
743104,Barasat,North 24 Parganas,West Bengal,Eastern,22.7722,88.4972
743201,Bongaon,North 24 Parganas,West Bengal,Eastern,22.8471,88.4932
743202,Bongaon,North 24 Parganas,West Bengal,Eastern,22.8559,88.5028
743301,Kalyani,North 24 Parganas,West Bengal,Eastern,22.9622,88.4268
743302,Kalyani,North 24 Parganas,West Bengal,Eastern,22.9710,88.4364
743401,Basirhat,North 24 Parganas,West Bengal,Eastern,22.6763,88.6273
743402,Basirhat,North 24 Parganas,West Bengal,Eastern,22.6851,88.6369
743601,Baruipur,South 24 Parganas,West Bengal,Eastern,22.3980,88.4763
743602,Baruipur,South 24 Parganas,West Bengal,Eastern,22.4068,88.4859
743701,Diamond Harbour,South 24 Parganas,West Bengal,Eastern,22.2069,88.2015
743702,Diamond Harbour,South 24 Parganas,West Bengal,Eastern,22.2157,88.2111
743801,Lakshmikantapur,South 24 Parganas,West Bengal,Eastern,22.0158,88.0859
743802,Lakshmikantapur,South 24 Parganas,West Bengal,Eastern,22.0246,88.0955
734101,Darjeeling,Darjeeling,West Bengal,Eastern,27.0360,88.2627
734102,Darjeeling,Darjeeling,West Bengal,Eastern,27.0448,88.2723
734103,Darjeeling,Darjeeling,West Bengal,Eastern,27.0536,88.2819
734104,Darjeeling,Darjeeling,West Bengal,Eastern,27.0624,88.2915
734201,Kalimpong,Darjeeling,West Bengal,Eastern,27.0730,88.4765
734202,Kalimpong,Darjeeling,West Bengal,Eastern,27.0818,88.4861
734301,Kurseong,Darjeeling,West Bengal,Eastern,26.8974,88.2773
734302,Kurseong,Darjeeling,West Bengal,Eastern,26.9062,88.2869
734401,Siliguri,Darjeeling,West Bengal,Eastern,26.7271,88.4134
734402,Siliguri,Darjeeling,West Bengal,Eastern,26.7359,88.4230
735101,Jalpaiguri,Jalpaiguri,West Bengal,Eastern,26.5270,88.7650
735102,Jalpaiguri,Jalpaiguri,West Bengal,Eastern,26.5358,88.7746
735103,Jalpaiguri,Jalpaiguri,West Bengal,Eastern,26.5446,88.7842
735201,Alipurduar,Jalpaiguri,West Bengal,Eastern,26.5024,88.5359
735202,Alipurduar,Jalpaiguri,West Bengal,Eastern,26.5112,88.5455
713201,Asansol,Bardhaman,West Bengal,Eastern,23.6834,86.9636
713202,Asansol,Bardhaman,West Bengal,Eastern,23.6922,86.9732
713301,Durgapur,Bardhaman,West Bengal,Eastern,23.8025,87.3188
713302,Durgapur,Bardhaman,West Bengal,Eastern,23.8113,87.3284
713401,Burnpur,Bardhaman,West Bengal,Eastern,23.5923,86.8484
713402,Burnpur,Bardhaman,West Bengal,Eastern,23.6011,86.8580
713501,Pandabeswar,Bardhaman,West Bengal,Eastern,23.7234,86.8941
713502,Pandabeswar,Bardhaman,West Bengal,Eastern,23.7322,86.9037
713601,Raniganj,Bardhaman,West Bengal,Eastern,23.8548,87.1293
713602,Raniganj,Bardhaman,West Bengal,Eastern,23.8636,87.1389
721101,Medinipur,West Midnapore,West Bengal,Eastern,22.4005,87.3166
721102,Medinipur,West Midnapore,West Bengal,Eastern,22.4093,87.3262
721201,Kharagpur,West Midnapore,West Bengal,Eastern,22.3069,87.3302
721202,Kharagpur,West Midnapore,West Bengal,Eastern,22.3157,87.3398
721301,Tamluk,East Midnapore,West Bengal,Eastern,22.2939,87.7449
721302,Tamluk,East Midnapore,West Bengal,Eastern,22.3027,87.7545
721401,Haldia,East Midnapore,West Bengal,Eastern,22.0247,88.0666
721402,Haldia,East Midnapore,West Bengal,Eastern,22.0335,88.0762
721501,Contai,East Midnapore,West Bengal,Eastern,21.7585,87.8195
721502,Contai,East Midnapore,West Bengal,Eastern,21.7673,87.8291
742101,Krishnanagar,Nadia,West Bengal,Eastern,23.4132,88.5065
742102,Krishnanagar,Nadia,West Bengal,Eastern,23.4220,88.5161
742201,Santipur,Nadia,West Bengal,Eastern,23.4857,88.5844
742202,Santipur,Nadia,West Bengal,Eastern,23.4945,88.5940
742301,Panagarh,Nadia,West Bengal,Eastern,23.7448,88.3898
742302,Panagarh,Nadia,West Bengal,Eastern,23.7536,88.3994
742401,Nabadwip,Nadia,West Bengal,Eastern,23.3820,88.4449
742402,Nabadwip,Nadia,West Bengal,Eastern,23.3908,88.4545
731001,Kharagpur,West Midnapore,West Bengal,Eastern,22.3069,87.3302
731101,Medinipur,West Midnapore,West Bengal,Eastern,22.4005,87.3166
731201,Sardar Shyam Bazaar,West Midnapore,West Bengal,Eastern,22.4698,87.3826
731301,Garbeta,West Midnapore,West Bengal,Eastern,22.5541,87.2374
731401,Daspur,West Midnapore,West Bengal,Eastern,22.5850,87.4584
741101,Bolpur,Birbhum,West Bengal,Eastern,23.6598,87.6835
741102,Bolpur,Birbhum,West Bengal,Eastern,23.6686,87.6931
741201,Suri,Birbhum,West Bengal,Eastern,23.8051,87.2907
741202,Suri,Birbhum,West Bengal,Eastern,23.8139,87.3003
741301,Santiniketan,Birbhum,West Bengal,Eastern,23.6836,87.6987
741302,Santiniketan,Birbhum,West Bengal,Eastern,23.6924,87.7083
724101,Murshidabad,Murshidabad,West Bengal,Eastern,24.1811,88.5764
724102,Murshidabad,Murshidabad,West Bengal,Eastern,24.1899,88.5860
724201,Berhampur,Murshidabad,West Bengal,Eastern,24.0938,88.2777
724202,Berhampur,Murshidabad,West Bengal,Eastern,24.1026,88.2873
724301,Baharampur,Murshidabad,West Bengal,Eastern,24.0998,88.2522
724302,Baharampur,Murshidabad,West Bengal,Eastern,24.1086,88.2618
720001,Visakhapatnam,Visakhapatnam,West Bengal,Eastern,17.6869,83.2185
722101,Pakur,Pakur,West Bengal,Eastern,24.5678,87.7718
722102,Pakur,Pakur,West Bengal,Eastern,24.5766,87.7814
722201,Dumka,Dumka,West Bengal,Eastern,24.2681,87.2589
722202,Dumka,Dumka,West Bengal,Eastern,24.2769,87.2685
722301,Deoghar,Deoghar,West Bengal,Eastern,24.4900,86.6677
722302,Deoghar,Deoghar,West Bengal,Eastern,24.4988,86.6773
